Bancs,camera,zone,Pop,5_degres_C_TMG_j,Aire_sous_la_courbe,15_j,16_j,17_j,18_j,19_j,20_j,21_j
3.0,1.0,11.0,Témoin,17.25,2652.0,4.0,16.0,20.0,24.0,32.0,36.0,40.0
3.0,2.0,11.0,Témoin,17.95,2652.0,0.0,4.0,4.0,12.0,24.0,28.0,28.0
3.0,3.0,11.0,Témoin,15.95,2652.0,8.0,12.0,20.0,20.0,20.0,24.0,28.0
3.0,4.0,11.0,Témoin,17.5,2652.0,4.0,4.0,4.0,4.0,12.0,16.0,16.0
4.0,1.0,11.0,Témoin,18.04,2646.0,4.0,4.0,16.0,16.0,24.0,32.0,36.0
4.0,2.0,11.0,Témoin,17.24,2646.0,8.0,12.0,20.0,32.0,36.0,36.0,44.0
4.0,3.0,11.0,Témoin,18.62,2646.0,4.0,4.0,8.0,16.0,20.0,24.0,40.0
4.0,4.0,11.0,Témoin,17.9,2646.0,0.0,0.0,8.0,8.0,12.0,20.0,20.0
3.0,1.0,11.0,Témoin,14.76,5731.2,16.0,28.0,28.0,32.0,36.0,36.0,36.0
3.0,2.0,26.0,Témoin,15.74,5731.2,12.0,20.0,20.0,20.0,32.0,36.0,36.0
3.0,3.0,31.0,Témoin,15.96,5731.2,20.0,32.0,40.0,52.0,56.0,56.0,60.0
3.0,4.0,46.0,Témoin,16.12,5731.2,8.0,24.0,32.0,36.0,36.0,36.0,44.0
3.0,3.0,31.0,Témoin,15.92,5731.2,16.0,24.0,40.0,40.0,44.0,44.0,48.0
4.0,1.0,11.0,Témoin,15.4,5536.0,8.0,16.0,32.0,36.0,40.0,40.0,40.0
4.0,2.0,36.0,Témoin,16.97,2016.0,0.0,8.0,12.0,16.0,20.0,20.0,20.0
4.0,3.0,21.0,Témoin,17.48,3184.0,4.0,8.0,12.0,24.0,32.0,32.0,36.0
4.0,4.0,46.0,Témoin,17.33,2944.0,8.0,12.0,16.0,16.0,24.0,32.0,32.0
4.0,2.0,26.0,Témoin,16.4,5952.0,4.0,24.0,32.0,36.0,44.0,48.0,52.0
3.0,1.0,41.0,Témoin,16.64,3126.4,4.0,12.0,20.0,20.0,24.0,28.0,28.0
3.0,2.0,36.0,Témoin,16.91,3126.4,8.0,16.0,20.0,24.0,32.0,32.0,36.0
3.0,3.0,21.0,Témoin,16.14,3126.4,12.0,20.0,20.0,24.0,24.0,28.0,28.0
3.0,4.0,16.0,Témoin,17.07,3126.4,0.0,4.0,12.0,16.0,16.0,20.0,20.0
3.0,3.0,21.0,Témoin,17.13,3126.4,4.0,8.0,24.0,32.0,32.0,40.0,40.0
3.0,2.0,36.0,Témoin,15.88,2504.0,8.0,16.0,24.0,28.0,28.0,28.0,28.0
3.0,3.0,21.0,Témoin,15.83,2352.0,4.0,4.0,12.0,12.0,12.0,12.0,12.0
3.0,1.0,11.0,Témoin,18.14,1868.0,0.0,0.0,8.0,12.0,20.0,20.0,24.0
3.0,3.0,31.0,Témoin,16.83,1868.0,4.0,8.0,16.0,16.0,16.0,16.0,20.0
4.0,1.0,41.0,Témoin,16.5,2240.0,4.0,4.0,8.0,16.0,20.0,20.0,20.0
4.0,2.0,26.0,Témoin,18.08,1776.0,0.0,4.0,4.0,12.0,20.0,20.0,24.0
4.0,3.0,31.0,Témoin,16.46,1808.0,8.0,8.0,8.0,12.0,12.0,12.0,16.0
4.0,4.0,16.0,Témoin,16.54,3552.0,4.0,12.0,20.0,28.0,28.0,28.0,32.0
4.0,2.0,36.0,Témoin,18.02,2416.0,4.0,12.0,12.0,16.0,16.0,24.0,32.0
4.0,2.0,26.0,Témoin,20.33,160.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
4.0,3.0,31.0,Témoin,15.5,2720.0,12.0,12.0,12.0,12.0,12.0,20.0,20.0
4.0,2.0,36.0,Témoin,17.11,4248.0,4.0,8.0,16.0,28.0,36.0,36.0,36.0
4.0,4.0,46.0,Témoin,15.22,4248.0,12.0,20.0,28.0,32.0,36.0,36.0,36.0
3.0,1.0,14.0,803,17.0,2352.0,0.0,4.0,16.0,20.0,20.0,24.0,24.0
3.0,1.0,32.0,803,16.55,3048.0,8.0,8.0,16.0,24.0,28.0,28.0,28.0
3.0,1.0,25.0,803,16.07,5776.0,20.0,24.0,32.0,36.0,40.0,44.0,48.0
4.0,4.0,44.0,803,17.77,2544.0,4.0,12.0,16.0,16.0,20.0,20.0,32.0
4.0,4.0,41.0,803,17.33,2880.0,0.0,4.0,12.0,20.0,32.0,32.0,32.0
3.0,1.0,26.0,803,16.2,6560.0,8.0,28.0,32.0,40.0,52.0,56.0,56.0
4.0,4.0,43.0,803,16.7,4208.0,8.0,16.0,24.0,28.0,36.0,40.0,40.0
4.0,1.0,23.0,803,18.52,1720.0,4.0,4.0,8.0,12.0,12.0,16.0,28.0
3.0,3.0,12.0,803,16.29,5520.0,20.0,24.0,28.0,36.0,44.0,44.0,48.0
4.0,2.0,41.0,803,17.0,3920.0,8.0,16.0,20.0,20.0,32.0,32.0,40.0
3.0,4.0,45.0,803,16.57,6064.0,4.0,24.0,44.0,44.0,48.0,56.0,56.0
4.0,4.0,24.0,803,16.0,5856.0,16.0,36.0,40.0,40.0,40.0,48.0,48.0
